win_blue,firstBlood_ours,firstTowerKill_ours,firstInhibitorKill_ours,firstBaron_ours,firstDragon_ours,firstRiftHerald_ours,4dragons_ours,olddragon_ours,kda_ours,kda_enemy,level_diff_ours_minus_enemy,inhibitorKills_gap_ours_minus_enemy,baronKills_gap_ours_minus_enemy,dragonKills_gap_ours_minus_enemy,riftHeraldKills_gap_ours_minus_enemy
0,True,True,True,True,True,False,0,0,2.0479460305987227,1.7814942737684059,42.0,-2,0,-1,0
0,False,False,False,False,False,False,0,0,2.0326557814061976,4.139900071377587,22.0,-3,0,-2,-2
1,False,False,True,True,True,False,0,0,2.971396834212719,2.229911572472126,33.0,2,1,3,-2
1,True,True,True,False,False,True,0,0,11.881188118811881,0.0,18.0,1,0,0,1
1,True,False,True,True,True,False,1,0,4.547726136931534,1.6810540663334848,33.0,2,1,4,0
0,True,False,False,False,False,True,0,0,0.7304882737408689,11.627906976744187,19.0,-3,0,-3,0
1,True,True,True,False,True,False,0,0,5.281941470378301,0.5804579168010319,27.0,2,0,2,-1
1,True,True,False,True,True,True,0,1,3.1910803537101113,1.709126088358594,41.0,2,2,5,2
1,True,False,False,True,False,False,0,0,2.9994737765304333,0.8973208563004742,57.0,1,2,-4,0
1,True,True,True,False,True,False,0,0,3.472770323599053,1.1426239542950418,29.0,3,0,2,0
1,True,False,True,True,False,False,0,0,3.586176918061291,0.6249132064990973,30.0,3,1,0,0
0,False,True,False,False,True,False,0,0,1.6752229127262903,2.898550724637681,24.0,-1,-1,0,0
0,False,True,False,False,True,True,1,0,2.049487628092977,2.3694927804516843,27.0,-1,-2,3,2
1,True,True,True,True,False,True,0,0,3.748125937031484,1.3630168105406633,29.0,2,1,-1,2
0,False,False,False,False,False,False,0,0,1.8327224258580472,4.534973097617217,22.0,-1,-1,-3,-1
1,True,True,True,False,True,True,0,0,3.4401646574536904,1.1588275391956373,29.0,4,0,2,2
0,True,False,False,False,False,False,0,0,1.841620626151013,4.063957361758828,19.0,-1,-1,-3,-2
1,False,True,False,False,True,True,0,0,2.657195474875033,2.9154518950437316,29.0,0,-1,-2,2
